#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Absiella argi	Bacteria	Terrabacteria group	Firmicutes	pABar1	NZ_AP019696.1	AP019696	4.73	34.4397	6	-	-	-	6	-
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB1	NC_009926.1	CP000838	374.161	47.3483	284	-	-	-	325	41
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB2	NC_009927.1	CP000839	356.087	45.3367	320	-	-	-	357	37
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB3	NC_009928.1	CP000840	273.121	45.1902	241	-	-	-	292	51
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB4	NC_009929.1	CP000841	226.68	45.877	199	-	1	-	222	22
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB5	NC_009930.1	CP000842	177.162	44.6755	174	-	-	-	178	4
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB6	NC_009931.1	CP000843	172.728	47.1267	137	-	-	-	166	29
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB7	NC_009932.1	CP000844	155.11	45.5909	123	-	-	-	135	12
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB8	NC_009933.1	CP000845	120.693	45.4185	100	-	-	-	110	10
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB9	NC_009934.1	CP000846	2.133	42.5223	1	-	-	-	2	1
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAC5	NC_001275.1	AF110140	5.123	55.8657	2	-	-	-	2	-
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAG20	NC_022074.1	KC871566	2.953	56.3495	1	-	-	-	1	-
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP015165.1	CP015165	49.38	51.132	40	-	-	-	51	11
